"period","censusdate","era","plot_type","total_e","dipo_e","smgran_e","pb_e","pp_e","nplots"
303,2003-08-23,"b_pre_cpt","EE",754.0154514318,100.005210321574,654.010241110226,485.695971857255,168.314269252971,3
304,2003-09-27,"b_pre_cpt","CC",671.377819770057,472.479270996032,198.898548774025,156.104465361868,22.2222825137491,4
304,2003-09-27,"b_pre_cpt","CE",507.614385963219,136.621237530227,370.993148432992,299.618039415492,56.2017756841666,3
304,2003-09-27,"b_pre_cpt","EE",496.666435793517,29.0287749955069,467.63766079801,407.697964988346,52.6685232833411,3
305,2003-10-25,"b_pre_cpt","CC",579.621431540181,405.4461082836,174.175323256581,116.979744098275,10.2955203610571,4
305,2003-10-25,"b_pre_cpt","CE",392.546659369507,92.7504998260332,299.796159543474,226.151936217233,42.5917234853439,3
305,2003-10-25,"b_pre_cpt","EE",428.848645758004,29.0287749955069,399.819870762497,370.907117392499,0,3
306,2003-11-22,"b_pre_cpt","CC",477.976730576228,362.591366940446,115.385363635781,90.0228143670382,0,4
306,2003-11-22,"b_pre_cpt","CE",215.045588320284,31.2916150907349,183.753973229549,170.768776733178,12.9851964963704,3
306,2003-11-22,"b_pre_cpt","EE",397.852897998524,27.8751932728726,369.977704725651,369.977704725651,0,3
307,2003-12-20,"b_pre_cpt","CC",498.122357199913,419.406746910955,78.7156102889579,78.7156102889579,0,4
307,2003-12-20,"b_pre_cpt","CE",422.938429247727,233.882629506429,189.055799741298,173.882466407965,0,3
307,2003-12-20,"b_pre_cpt","EE",345.673639880058,0,345.673639880058,325.753752044072,0,3
308,2004-01-24,"b_pre_cpt","CC",435.838939959873,417.604466961913,18.2344729979593,18.2344729979593,0,4
308,2004-01-24,"b_pre_cpt","CE",321.561129067875,166.38659385979,155.174535208085,155.174535208085,0,3
308,2004-01-24,"b_pre_cpt","EE",299.134387864799,0,299.134387864799,299.134387864799,0,3
309,2004-02-21,"b_pre_cpt","CC",585.474189702038,554.508551396894,30.9656383051446,19.5856383051446,11.38,4
309,2004-02-21,"b_pre_cpt","CE",311.238167733125,97.6886920073542,213.54947572577,173.063606287625,0,3
309,2004-02-21,"b_pre_cpt","EE",287.253258387934,32.4026492006822,254.850609187252,254.850609187252,0,3
310,2004-03-17,"b_pre_cpt","CC",333.385332849199,256.767629582031,76.6177032671683,52.2773115719291,24.3403916952391,4
310,2004-03-17,"b_pre_cpt","CE",283.40167966272,117.735500340869,165.66617932185,165.66617932185,0,3
310,2004-03-17,"b_pre_cpt","EE",371.562768697119,68.6278827869738,302.934885910145,285.67427302791,17.260612882235,3
312,2004-05-17,"b_pre_cpt","CC",769.540739930558,608.031687686052,161.509052244506,24.3019869005117,124.776048529429,4
312,2004-05-17,"b_pre_cpt","CE",459.659849646961,240.838139725938,218.821709921023,136.169013458608,82.6526964624153,3
312,2004-05-17,"b_pre_cpt","EE",380.31692649874,62.0024962501029,318.314430248637,252.732781631273,0,3
315,2004-08-19,"b_pre_cpt","CC",520.789983534288,320.208487802273,200.581495732015,18.6884612953589,181.893034436656,4
315,2004-08-19,"b_pre_cpt","CE",454.795641920602,40.888807941399,413.906833979203,291.432708741837,108.017748552368,3
315,2004-08-19,"b_pre_cpt","EE",456.011102274656,32.1411701487745,423.869932125882,264.483840955768,110.396678335117,3
316,2004-09-11,"b_pre_cpt","CC",447.304692185138,217.39431552433,229.910376660808,20.4693149514346,209.441061709374,4
316,2004-09-11,"b_pre_cpt","CE",492.571807777802,0,492.571807777802,311.641666593496,180.930141184306,3
316,2004-09-11,"b_pre_cpt","EE",338.233509545211,35.1267582399009,303.10675130531,213.696738600636,74.2366793713406,3
317,2004-10-16,"b_pre_cpt","CC",562.216336436414,324.126104325004,238.09023211141,98.9304408463237,139.159791265087,4
317,2004-10-16,"b_pre_cpt","CE",623.638179880959,71.3154024013537,552.322777479606,403.152058833563,113.32929907276,3
317,2004-10-16,"b_pre_cpt","EE",387.875018983758,72.8727062763256,315.002312707432,147.542637460975,167.459675246457,3
319,2004-12-11,"b_pre_cpt","CC",535.081165758357,416.450214416385,118.630951341973,80.9841826266036,37.6467687153691,4
319,2004-12-11,"b_pre_cpt","CE",420.167227561,70.1184538275221,350.048773733478,312.505820609053,0,3
319,2004-12-11,"b_pre_cpt","EE",190.642945208586,0,190.642945208586,176.915584727176,13.7273604814094,3
320,2005-01-15,"b_pre_cpt","CC",490.823154568281,395.404477739211,95.4186768290702,70.1263464499254,25.2923303791448,4
320,2005-01-15,"b_pre_cpt","CE",496.166666070875,134.179241889977,361.987424180898,312.554522018791,0,3
320,2005-01-15,"b_pre_cpt","EE",169.708792227241,0,169.708792227241,123.673618709783,0,3
322,2005-04-09,"b_pre_cpt","CC",552.768623569282,312.961538316447,239.807085252835,62.2699974882061,177.537087764629,4
322,2005-04-09,"b_pre_cpt","CE",455.309102698325,214.841977815682,240.467124882643,110.253790277841,130.213334604802,3
322,2005-04-09,"b_pre_cpt","EE",241.188845945769,0,241.188845945769,86.3959253905216,135.526190068053,3
324,2005-06-04,"b_pre_cpt","CC",663.594414260449,456.286888466034,207.307525794416,37.7192575363835,169.588268258032,4
324,2005-06-04,"b_pre_cpt","CE",595.574418135393,231.298706558294,364.275711577099,196.671517727435,167.604193849664,3
324,2005-06-04,"b_pre_cpt","EE",416.091864689536,0,416.091864689536,234.964618132143,139.395132669099,3
325,2005-07-09,"b_pre_cpt","CC",652.662332496704,297.883211466639,354.779121030065,80.9712854296126,228.051817063339,4
325,2005-07-09,"b_pre_cpt","CE",772.083433100486,193.065383745563,579.018049354923,254.395506266378,222.876187259321,3
325,2005-07-09,"b_pre_cpt","EE",506.460064687277,0,506.460064687277,355.527062253541,132.995436582976,3
326,2005-08-06,"b_pre_cpt","CC",819.828344034086,319.213685939871,500.614658094215,85.5388243476794,317.859284715723,4
326,2005-08-06,"b_pre_cpt","CE",959.795729491344,216.00742808839,743.788301402953,405.531435240549,338.256866162404,3
326,2005-08-06,"b_pre_cpt","EE",772.538445813637,0,772.538445813637,435.826547855185,278.968275209585,3
327,2005-09-03,"b_pre_cpt","CC",1001.31747099707,343.739457606719,657.578013390355,270.413834329572,363.353162246218,4
327,2005-09-03,"b_pre_cpt","CE",937.069567632686,189.837384294881,747.232183337805,462.499127565056,268.853889265185,3
327,2005-09-03,"b_pre_cpt","EE",836.271611666599,0,836.271611666599,542.773324085995,262.445787739706,3
328,2005-09-30,"b_pre_cpt","CC",856.167282305075,307.739650686382,548.427631618694,244.470545708062,270.954268197657,4
328,2005-09-30,"b_pre_cpt","CE",1024.80509231974,149.511757314243,875.293335005492,570.277168753279,266.603066795799,3
328,2005-09-30,"b_pre_cpt","EE",844.930946537664,0,844.930946537664,593.930471674619,202.677763357536,3
329,2005-11-05,"b_pre_cpt","CC",832.09992451951,460.477719973819,371.622204545692,238.241049660253,116.352643062942,4
329,2005-11-05,"b_pre_cpt","CE",825.688648281258,175.356541150272,650.332107130985,470.278924058425,134.924556859492,3
329,2005-11-05,"b_pre_cpt","EE",667.612191763032,0,667.612191763032,576.015505845033,91.5966859179992,3
330,2005-12-09,"b_pre_cpt","CC",501.878112589994,365.586204037171,136.291908552823,125.449626039074,10.8422825137491,4
330,2005-12-09,"b_pre_cpt","CE",556.266271936716,197.344073978296,358.92219795842,269.423470676333,15.1733333333333,3
330,2005-12-09,"b_pre_cpt","EE",358.75292123075,0,358.75292123075,285.124834015699,13.7273604814094,3
331,2006-01-07,"b_pre_cpt","CC",632.980189650862,476.649178440297,156.331011210565,134.108728696816,22.2222825137491,4
331,2006-01-07,"b_pre_cpt","CE",528.17094587725,208.307814350946,319.863131526304,271.339937371781,0,3
331,2006-01-07,"b_pre_cpt","EE",454.410640411958,0,454.410640411958,408.431352946984,45.979287464974,3
332,2006-01-28,"b_pre_cpt","CC",525.790619834567,429.985479188681,95.8051406458851,69.0041344281848,20.0344177333348,4
332,2006-01-28,"b_pre_cpt","CE",689.086896190142,278.044131922447,411.042764267695,334.810872262326,13.7273604814094,3
332,2006-01-28,"b_pre_cpt","EE",372.478357819275,0,372.478357819275,308.979993716029,14.4563766849988,3
333,2006-03-04,"b_pre_cpt","CC",469.840345889035,351.182592185039,118.657753703996,77.5289174074351,35.6754569018193,4
333,2006-03-04,"b_pre_cpt","CE",679.960592467912,311.037248176942,368.92334429097,250.220352015229,33.1397793897991,3
333,2006-03-04,"b_pre_cpt","EE",419.184204188699,68.6164653375539,350.567738851145,292.777474695763,57.7902641553817,3
334,2006-03-25,"b_pre_cpt","CC",462.361443933412,269.898819448335,192.462624485077,50.8847237213645,108.636765160554,4
334,2006-03-25,"b_pre_cpt","CE",684.462879314585,330.462466485499,354.000412829086,270.163671677366,26.7125569777798,3
334,2006-03-25,"b_pre_cpt","EE",452.963070479843,34.0458675395383,418.917202940305,372.691369766074,46.2258331742308,3
335,2006-04-29,"b_pre_cpt","CC",759.009555813595,444.618875497338,314.390680316258,34.6132807757037,272.385872719254,4
335,2006-04-29,"b_pre_cpt","CE",646.057193614213,303.964494709499,342.092698904714,197.225109080643,144.86758982407,3
335,2006-04-29,"b_pre_cpt","EE",521.864061198905,35.1267582399009,486.737302959004,374.908282830823,102.806902149027,3
